arrival_date,arrival_time,depart_date,depart_time,price,seats,tclass,title,scrape_date
2020-01-14,12:13,2020-01-14,08:55,,0,ekonomi (Subclass P),argo parahyangan 40,2020-01-12
2020-01-14,14:09,2020-01-14,10:45,,0,ekonomi (Subclass P),argo parahyangan 42,2020-01-12
2020-01-14,16:33,2020-01-14,13:10,,0,ekonomi (Subclass P),argo parahyangan 54,2020-01-12
2020-01-14,17:38,2020-01-14,14:25,,0,ekonomi (Subclass P),argo parahyangan 68F,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,,0,ekonomi (Subclass P),argo parahyangan excellence 44,2020-01-12
2020-01-14,20:59,2020-01-14,17:45,,0,ekonomi (Subclass P),argo parahyangan 46,2020-01-12
2020-01-14,22:08,2020-01-14,18:45,,0,ekonomi (Subclass P),argo parahyangan 48,2020-01-12
2020-01-15,01:27,2020-01-14,22:05,,0,ekonomi (Subclass P),argo parahyangan 50,2020-01-12
2020-01-15,02:05,2020-01-14,22:55,,0,ekonomi (Subclass P),argo parahyangan 52,2020-01-12
2020-01-15,02:40,2020-01-14,23:30,,0,ekonomi (Subclass P),argo parahyangan 70F,2020-01-12
2020-01-14,20:29,2020-01-14,17:10,,0,ekonomi (Subclass P),mutiara selatan 104,2020-01-12
2020-01-14,20:29,2020-01-14,17:10,,0,ekonomi (Subclass C),mutiara selatan 104,2020-01-12
2020-01-14,20:29,2020-01-14,17:10,,0,ekonomi (Subclass CA),mutiara selatan 104,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,,0,eksekutif (Subclass J),argo parahyangan excellence 44,2020-01-12
2020-01-14,08:46,2020-01-14,05:30,,0,eksekutif (Subclass I),argo parahyangan 36,2020-01-12
2020-01-14,09:49,2020-01-14,06:15,,0,eksekutif (Subclass I),argo parahyangan 38,2020-01-12
2020-01-14,10:31,2020-01-14,07:12,,0,eksekutif (Subclass I),argo parahyangan 56,2020-01-12
2020-01-14,12:13,2020-01-14,08:55,,0,eksekutif (Subclass I),argo parahyangan 40,2020-01-12
2020-01-14,14:09,2020-01-14,10:45,,0,eksekutif (Subclass I),argo parahyangan 42,2020-01-12
2020-01-14,16:33,2020-01-14,13:10,,0,eksekutif (Subclass I),argo parahyangan 54,2020-01-12
2020-01-14,17:38,2020-01-14,14:25,,0,eksekutif (Subclass I),argo parahyangan 68F,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,,0,eksekutif (Subclass I),argo parahyangan excellence 44,2020-01-12
2020-01-14,20:59,2020-01-14,17:45,,0,eksekutif (Subclass I),argo parahyangan 46,2020-01-12
2020-01-14,22:08,2020-01-14,18:45,,0,eksekutif (Subclass I),argo parahyangan 48,2020-01-12
2020-01-15,01:27,2020-01-14,22:05,,0,eksekutif (Subclass I),argo parahyangan 50,2020-01-12
2020-01-15,02:05,2020-01-14,22:55,,0,eksekutif (Subclass I),argo parahyangan 52,2020-01-12
2020-01-15,02:40,2020-01-14,23:30,,0,eksekutif (Subclass I),argo parahyangan 70F,2020-01-12
2020-01-14,08:46,2020-01-14,05:30,,0,eksekutif (Subclass H),argo parahyangan 36,2020-01-12
2020-01-14,09:49,2020-01-14,06:15,,0,eksekutif (Subclass H),argo parahyangan 38,2020-01-12
2020-01-14,10:31,2020-01-14,07:12,,0,eksekutif (Subclass H),argo parahyangan 56,2020-01-12
2020-01-14,12:13,2020-01-14,08:55,,0,eksekutif (Subclass H),argo parahyangan 40,2020-01-12
2020-01-14,14:09,2020-01-14,10:45,,0,eksekutif (Subclass H),argo parahyangan 42,2020-01-12
2020-01-14,16:33,2020-01-14,13:10,,0,eksekutif (Subclass H),argo parahyangan 54,2020-01-12
2020-01-14,17:38,2020-01-14,14:25,,0,eksekutif (Subclass H),argo parahyangan 68F,2020-01-12
2020-01-14,18:30,2020-01-14,15:40,,0,eksekutif (Subclass H),argo parahyangan excellence 44,2020-01-12
2020-01-14,20:59,2020-01-14,17:45,,0,eksekutif (Subclass H),argo parahyangan 46,2020-01-12
