arrival_date,depart_date,depart_time,price,seats,tclass,title,scrape_date,arrival_time
1/9/2020,1/9/2020,7:12,,0,eksekutif (Subclass I),argo parahyangan 56,1/7/2020,10:31
1/9/2020,1/9/2020,8:55,,0,eksekutif (Subclass I),argo parahyangan 40,1/7/2020,12:13
1/9/2020,1/9/2020,10:45,,0,eksekutif (Subclass I),argo parahyangan 42,1/7/2020,14:09
1/9/2020,1/9/2020,13:10,,0,eksekutif (Subclass I),argo parahyangan 54,1/7/2020,16:33
1/9/2020,1/9/2020,14:25,,0,eksekutif (Subclass I),argo parahyangan 68F,1/7/2020,17:38
1/9/2020,1/9/2020,15:40,,0,eksekutif (Subclass I),argo parahyangan excellence 44,1/7/2020,18:30
1/9/2020,1/9/2020,17:45,,0,eksekutif (Subclass I),argo parahyangan 46,1/7/2020,20:59
1/9/2020,1/9/2020,18:45,,0,eksekutif (Subclass I),argo parahyangan 48,1/7/2020,22:08
1/10/2020,1/9/2020,22:05,,0,eksekutif (Subclass I),argo parahyangan 50,1/7/2020,1:27
1/10/2020,1/9/2020,22:55,,0,eksekutif (Subclass I),argo parahyangan 52,1/7/2020,2:05
1/10/2020,1/9/2020,23:30,,0,eksekutif (Subclass I),argo parahyangan 70F,1/7/2020,2:40
1/9/2020,1/9/2020,5:30,,0,eksekutif (Subclass H),argo parahyangan 36,1/7/2020,8:46
1/9/2020,1/9/2020,6:15,,0,eksekutif (Subclass H),argo parahyangan 38,1/7/2020,9:49
1/9/2020,1/9/2020,7:12,,0,eksekutif (Subclass H),argo parahyangan 56,1/7/2020,10:31
1/9/2020,1/9/2020,8:55,,0,eksekutif (Subclass H),argo parahyangan 40,1/7/2020,12:13
1/9/2020,1/9/2020,10:45,,0,eksekutif (Subclass H),argo parahyangan 42,1/7/2020,14:09
1/9/2020,1/9/2020,13:10,,0,eksekutif (Subclass H),argo parahyangan 54,1/7/2020,16:33
1/9/2020,1/9/2020,14:25,,0,eksekutif (Subclass H),argo parahyangan 68F,1/7/2020,17:38
